,Location,Latitude,Longitude
548,"ASHEVILLE, NC",35.6009498,-82.5540161
549,"AUGUSTA, GA",33.4709714,-81.9748429
550,"BAINBRIDGE, GA",30.9038252,-84.5754768
551,"BELLEVUE, OH",41.2736647,-82.8415763
552,"BELMONT, OH",40.0057737,-81.0097516
553,"BILLINGS, MO",37.0675544,-93.5521411
554,"BIRMINGHAM, AL",0,0
555,"BLAKESLEE, PA",41.092586,-75.5926886
556,"BLUEFIELD, VA",37.2526133,-81.2713436
557,"BOSWELL, PA",40.1614651,-79.0289161
558,"BRANFORD, FL",29.9591183,-82.9281833
559,"BREMEN, GA",33.7208676,-85.1456929
560,"BRIMFIELD, OH",41.100057,-81.346497
561,"BRODHEADSVILLE, PA",40.9239703,-75.3937485
562,"CANCUN, MX",21.1617854,-86.8510468
563,"CARROLLTON, GA",33.5801103,-85.0766113
564,"CHARLOTTE, MI",35.2270869,-80.8431268
565,"CIRCLEVILLE, OH",39.600618,-82.9460133
566,"COLUMBUS, MN",45.2651162,-93.0500469
567,"CONWAY, AR",0,0
568,"CRAWFORDSVILLE, IN",40.0401991,-86.8990249
569,"CROWN POINT, IN",41.4169806,-87.3653136
570,"DARLINGTON, SC",34.3609331,-79.9438572
571,"DAYTON, OH",39.7589478,-84.1916069
572,"DODGEVILLE, WI",42.9599809,-90.1303945
573,"EAST CANTON, OH",40.7872811,-81.2826095
574,"EDGEWATER, FL",28.96161375,-80.98504467
575,"EFFINGHAM, IL",39.0520902,-88.6029006
576,"ERIE, PA",42.1294712,-80.0852695
577,"FALLSTON, MD",39.5145515,-76.4110732
578,"FARMINGDALE, NJ",40.1965018,-74.1684757
579,"FAULKNER, MS",32.3368101,-88.6750438
580,"FLORALA, AL",31.00518,-86.3280018
581,"FORT MEYERS, FL",0,0
582,"FORT WORTH , TX",32.753177,-97.3327459
583,"FRANKLIN, IN",39.4149034,-85.0563234
584,"FT. WAYNE, IN",41.0799898,-85.1386015
585,"GENOA, OH",41.5181064,-83.359094
586,"GIBSONIA, PA",40.6300671,-79.9695004
587,"GLENSHAW, PA",40.5328462,-79.9675536
588,"GORDO, AL",33.3201178,-87.9027962
589,"GREENWOOD, SC",34.1489805,-82.112882
590,"GULFPORT, MS",30.3674198,-89.0928155
591,"HAMBURG, LA",53.5437641,10.0099133
592,"HATFIELD, MA",42.3709616,-72.5966543
593,"HAZARD, KY",37.24954,-83.1932284
594,"HENDERSON, NV",36.0301134,-114.9826194
595,"HICKSVILLE, OH",0,0
596,"HOLLY SPRINGS, NC",35.64297525,-78.81893361
597,"HOT SPRINGS, AR",-24.2381727,-64.1592782
598,"HOWE, IN",41.7214347,-85.4205384
599,"HUMBOLDT, TN",35.8197917,-88.9158953
600,"INDIANA, PA",40.6424116,-79.1262839
601,"IVYLAND, PA",40.2078863,-75.0726707
602,"JOHNSON CREEK, WI",43.076113,-88.7742707
603,"JONESBORO, AR",35.8428646,-90.7034522
604,"KANKAKEE, IL",41.1253903,-87.848682
605,"LACROSSE, IN",47.52192355,-122.191653
606,"LAFAYETTE, LA",29.9978185,-83.2221527
607,"LANSDALE, PA",40.2414952,-75.2837862
608,"LEBANON, PA",40.375713,-76.4626118
609,"LEWISBURG, PA",40.9645293,-76.8844101
610,"LEXINGTON, SC",33.8986841,-81.275054
611,"LINE LEXINGTON, PA",0,0
612,"LOVELAND, OH",39.2689562,-84.2638406
613,"MANSFIELD, OH",40.75839,-82.5154471
614,"MARION, NC",35.6840131,-82.0092745
615,"MARION, OH",40.5885271,-83.1895249
616,"MARSHALLS CREEK, PA",41.0662315,-75.1385947
617,"MARTINSVILLE, IN",39.4278253,-86.428328
618,"MCKEAN, PA",41.8019737,-78.5769879
619,"MIAMI, FL",25.7742658,-80.1936589
620,"MIDWAY, FL",30.4954759,-84.4543513
621,"MORA, MN",45.8769031,-93.2938352
622,"MT. AIRY, NC",36.4993297,-80.6071609
623,"NEWPORT, VT",44.936127,-72.204895
624,"NORTH VERNON, IN",39.006165,-85.6235796
625,"NORTHVILLE, MI",42.4310806,-83.4832262
626,"NORTON, VA",36.9336934,-82.6298965
627,"NORWALK, OH",0,0
628,"PALMETTO, GA",33.5178907,-84.6696549
629,"PARAGOULD, AR",36.0584021,-90.4973286
630,"PARKERSBURG, WV",39.2699565,-81.5506916
631,"PASADENA, TX",29.6910625,-95.2091006
632,"RIVERSIDE, CA",50.481292,-108.2892248
633,"SAINT JOSEPH, MO",39.7686055,-94.8466322
634,"SCARBOROUGH, ME",43.59622635,-70.33005568
635,"SOUDERTON, PA",40.3117707,-75.3251759
636,"SOUTH BELOIT, IL",42.4930708,-89.0367764
637,"STANLEY, NC",35.3590256,-81.0970214
638,"STARR, SC",34.3770509,-82.6956891
639,"TALLAHASSEE, FL",30.4380832,-84.2809332
640,"TAMAQUA, PA",40.7974296,-75.9696186
641,"TAMPA, FL",27.9477595,-82.458444
642,"TAOS, NM",0,0
643,"TARENTUM, PA",40.6014555,-79.7597709
644,"TROY, AL",31.8087678,-85.969951
645,"TYLER, TX",30.7563939,-94.3984613
646,"UNION MILLS, IN",41.4932141,-86.7777391
647,"VALENCIA, PA",40.674863,-79.988494
648,"VALPARAISO, IN",41.4730948,-87.0611412
649,"WALLACE, NC",34.735724,-77.9952628
650,"WATERVLIET, NY",42.7300784,-73.7012299
651,"WEST CHICAGO, IL",41.8847507,-88.2039607
652,"WEST HICKORY, PA",41.5686727,-79.4081021
653,WESTERN STAR,41.0256103,-81.6879049
654,"WHITE OAK, TX",32.5271582,-94.8609684
655,"WHITESTONE, NY",40.7945457,-73.8184674
656,"WILLIAMSBURG, VA",37.27892105,-76.69448606
657,"WIND GAP, PA",40.8481509,-75.2915694
658,"WINSTON SALEM, NC",36.0998131,-80.2440518
659,"WINTER GARDEN, FL",0,0
660,"WOODSTOCK, NH",43.9775681,-71.6850802
661,"YORK, PA",39.9067499,-76.7008946
